multiplicity	bhat	bhat_err	b	b_err
5	1	0.0230057	8.355112209	0.241821293
6	0.930959447	0.0183743	7.778270645	0.205496143
7	0.858645361	0.0194995	7.174078342	0.205954326
8	0.776820806	0.0171919	6.490424997	0.183372102
9	0.69073206	0.0143701	5.771143869	0.157123892
10	0.600059163	0.0140504	5.013561642	0.146743566
11	0.503267839	0.0125591	4.204859262	0.128312789
12	0.411475445	0.010595	3.437923513	0.107152463
13	0.32251282	0.00962298	2.694630799	0.093294451
14	0.238661343	0.010997	1.994042304	0.098328684
15	0.166652279	0.00870761	1.392398492	0.076752743
16	0.111841656	0.0116644	0.934449581	0.098829444
17	0.067191813	0.0132432	0.561395141	0.111086811
18	0.040560275	0.0125304	0.338885646	0.104861929
