multiplicity	bhat	bhat_err	b	b_err
5	1	0.0349429	8.947339957	0.390721699
6	0.946635538	0.0316299	8.469869969	0.359586089
7	0.884608277	0.0296667	7.914890981	0.336794914
8	0.815064769	0.0285296	7.292661573	0.318813505
9	0.739909422	0.0254698	6.620221133	0.286351294
10	0.644007981	0.0233296	5.762158342	0.257580413
11	0.552954129	0.0211701	4.94746857	0.229498255
12	0.456839315	0.0203716	4.087496656	0.211385948
13	0.366796078	0.0219337	3.281849201	0.214246906
14	0.29354079	0.0250863	2.626409236	0.234759956
15	0.214013517	0.017288	1.914851692	0.162608883
16	0.140164362	0.020121	1.254098195	0.183001299
17	0.099443934	0.024181	0.889758688	0.217607046
18	0.054616624	0.0233338	0.488673503	0.209167391
