multiplicity	bhat	bhat_err	b	b_err
5	1	0.0155432	6.974541316	0.144563461
6	0.924619086	0.0128229	6.448794014	0.125769688
7	0.852868339	0.0122122	5.948365469	0.117931237
8	0.781822283	0.0112408	5.452851813	0.108338743
9	0.706077577	0.0110943	4.924567235	0.1027
10	0.62772292	0.00941146	4.378079439	0.088953777
11	0.548028223	0.00874125	3.822245486	0.080398491
12	0.472281177	0.00980431	3.293944584	0.081951466
13	0.391212476	0.00843818	2.728527574	0.06973857
14	0.318986255	0.0093066	2.224782814	0.071720974
15	0.241255336	0.00889895	1.68264531	0.066216079
16	0.167390953	0.00837225	1.167475114	0.060547345
17	0.117152189	0.00765242	0.817082786	0.054535462
18	0.072395959	0.00653543	0.504928605	0.046104485
19	0.04309968	0.00731635	0.300600501	0.051194397
20	0.022080916	0.00959554	0.154004262	0.0669578
