multiplicity	bhat	bhat_err	b	b_err
5	1	0.0146451	8.312226532	0.168385308
6	0.947348177	0.0133377	7.874572653	0.156327026
7	0.896342479	0.0174339	7.450601731	0.178533797
8	0.844785325	0.0125046	7.022046993	0.143048503
9	0.79079644	0.0117201	6.573279148	0.133995005
10	0.738088959	0.010774	6.135162626	0.124070855
11	0.683630525	0.010691	5.682491792	0.119258418
12	0.627203976	0.0115973	5.213461526	0.120901387
13	0.5678992	0.00895873	4.720506799	0.099550832
14	0.504693973	0.00837241	4.195130629	0.091053362
15	0.443676402	0.00901396	3.687938758	0.090984532
16	0.378864137	0.00773617	3.149204535	0.077960477
17	0.317284493	0.00666823	2.637340578	0.066594034
18	0.256403371	0.0106475	2.131282906	0.093396119
19	0.197418922	0.00553181	1.640990803	0.051398572
20	0.149275697	0.00756233	1.240813411	0.065214638
21	0.108477008	0.00608982	0.901685466	0.052169395
22	0.077663584	0.012372	0.6455573	0.103235014
23	0.051456175	0.00810228	0.427715386	0.067613515
24	0.027118233	0.00860321	0.2254129	0.071581389
25	0.019175487	0.00860007	0.15939099	0.07152053
