multiplicity	bhat	bhat_err	b	b_err
5	1	0.0337282	8.596345537	0.368488146
6	0.926529768	0.0306431	7.964770035	0.337324374
7	0.858513513	0.0280466	7.380078808	0.310237706
8	0.76876367	0.0274441	6.608558144	0.293638227
9	0.680664361	0.0280884	5.851226042	0.286815735
10	0.581329358	0.0238524	4.99730803	0.243968961
11	0.474297152	0.0188959	4.077222209	0.194986884
12	0.370264506	0.0170616	3.182921637	0.169120522
13	0.274612189	0.0175311	2.360661264	0.163130986
14	0.18622103	0.0163034	1.600820319	0.146408482
15	0.126282787	0.016876	1.085570474	0.147887256
16	0.080430919	0.0246029	0.691411973	0.212284533
17	0.051676083	0.0229246	0.444225468	0.197417886
