multiplicity	bhat	bhat_err	b	b_err
5	1	0.0347378	7.220909042	0.317904991
6	0.88673803	0.0295347	6.403054659	0.274728012
7	0.780825598	0.0289418	5.638270621	0.25871013
8	0.670679445	0.023728	4.84291527	0.21567114
9	0.546298646	0.0221583	3.944772831	0.192313942
10	0.446231603	0.0191155	3.222197817	0.163241837
11	0.340021751	0.0217246	2.455266139	0.170348443
12	0.256696327	0.0257235	1.853580828	0.19239378
13	0.169919675	0.0171802	1.226974519	0.128418709
14	0.082202269	0.0180022	0.593575105	0.130979882
15	0.032572411	0.0227979	0.23520242	0.164744431
