multiplicity	bhat	bhat_err	b	b_err
5	1	0.0212349	6.931750875	0.19632187
6	0.909338327	0.0211084	6.303306746	0.188052181
7	0.811548687	0.0181909	5.625453321	0.164361041
8	0.70643019	0.0160424	4.896798087	0.144179319
9	0.600274849	0.0174206	4.160955709	0.143745341
10	0.496257922	0.0127076	3.439936283	0.109156716
11	0.389856842	0.0129225	2.702390508	0.102901503
12	0.298644073	0.0105526	2.070126317	0.082799526
13	0.211586897	0.0105122	1.466667658	0.077879751
14	0.147646669	0.0105785	1.02344993	0.075794544
15	0.097616224	0.010381	0.676651349	0.073067337
16	0.053394857	0.0130305	0.37011985	0.090590125
17	0.021237505	0.0155245	0.147213095	0.107647326
