multiplicity	bhat	bhat_err	b	b_err
5	1	0.0429158	7.148170945	0.374520543
6	0.910503965	0.0337384	6.50843799	0.3105283
7	0.809115879	0.0298311	5.783698617	0.27511567
8	0.702669077	0.0266121	5.022798683	0.242851645
9	0.588346793	0.0240084	4.205603454	0.21314274
10	0.484746308	0.0219111	3.465049475	0.188088695
11	0.379028441	0.0199047	2.709360088	0.163937239
12	0.291588961	0.0167249	2.084327737	0.134971631
13	0.198997625	0.0178449	1.422469045	0.134532556
14	0.145332255	0.0192405	1.038859806	0.141034158
15	0.107601349	0.0174948	0.769152833	0.127174602
16	0.062123668	0.0255059	0.444070595	0.182808417
17	0.043528015	0.0247219	0.31114569	0.17696364

