multiplicity	bhat	bhat_err	b	b_err
5	1	0.0172377	8.429873596	0.192310757
6	0.950526546	0.0155504	8.012818633	0.177540839
7	0.903313088	0.0152461	7.614815146	0.171656436
8	0.855739661	0.0145871	7.213777173	0.16352656
9	0.806835531	0.0140418	6.801521537	0.156017236
10	0.758226043	0.0140645	6.391749702	0.152248261
11	0.707075204	0.0128237	5.960554596	0.140069087
12	0.657246112	0.0135694	5.540501644	0.141206266
13	0.599766821	0.0112939	5.05595849	0.121541088
14	0.540231442	0.0113215	4.554082771	0.117216171
15	0.484225627	0.0100758	4.081960824	0.104570775
16	0.422207444	0.0114744	3.559155382	0.110385072
17	0.361133787	0.00899234	3.044312175	0.088406738
18	0.297742237	0.00825465	2.509929419	0.079049762
19	0.234033454	0.0103733	1.972872432	0.092281356
20	0.179791075	0.00946438	1.515616037	0.08293576
21	0.142194498	0.00842172	1.198681646	0.073218793
22	0.10003429	0.00890716	0.84327642	0.076136265
23	0.062282989	0.00927309	0.525037724	0.078563707
24	0.028390795	0.0144621	0.239330813	0.121966119
