multiplicity	bhat	bhat_err	b	b_err
5	1	0.017219	8.215925431	0.192478704
6	0.954767181	0.0165659	7.84429596	0.184533121
7	0.908912341	0.0177971	7.467556017	0.188288546
8	0.862372546	0.0163274	7.085188533	0.175108443
9	0.814090539	0.0148442	6.688507165	0.161750792
10	0.76391688	0.0175583	6.276284121	0.175359516
11	0.709571956	0.0136213	5.829790282	0.145261265
12	0.655359527	0.0149066	5.384385006	0.149383503
13	0.600893101	0.012408	4.936892913	0.128619706
14	0.53961805	0.0112927	4.433461664	0.116483038
15	0.473937053	0.0121361	3.893831484	0.117337639
16	0.410970497	0.00966685	3.376502957	0.095837927
17	0.348817739	0.00884372	2.865860533	0.085743844
18	0.279235119	0.0104195	2.294174916	0.093040639
19	0.220092956	0.00787057	1.808267315	0.07075727
20	0.163899288	0.00961453	1.346584329	0.081837455
21	0.121197543	0.0104823	0.995749974	0.087562421
22	0.08196466	0.0115209	0.673415534	0.095257448
23	0.05026946	0.0121169	0.413010139	0.099767512
24	0.023622118	0.0129669	0.194077562	0.106579685

