multiplicity	bhat	bhat_err	b	b_err
5	1	0.0144116	8.051709217	0.160462762
6	0.951645094	0.014126	7.662369576	0.155115118
7	0.900974976	0.0132304	7.25438852	0.146011158
8	0.849679845	0.0128211	6.841375039	0.139731623
9	0.798192509	0.0122791	6.426813981	0.132667904
10	0.744813397	0.0116337	5.997020894	0.124853956
11	0.687363343	0.0117154	5.53444976	0.121249799
12	0.627893492	0.0102351	5.055615817	0.107861857
13	0.568129973	0.00969764	4.574417337	0.100307764
14	0.508237786	0.00916691	4.092182863	0.092847744
15	0.450619673	0.0103678	3.628258574	0.097277548
16	0.380413789	0.00928253	3.062981207	0.085812013
17	0.317008422	0.00840541	2.55245963	0.076254314
18	0.256416555	0.00694288	2.064591537	0.062711013
19	0.197726567	0.00903253	1.592036818	0.07595718
20	0.149144685	0.0107528	1.200869632	0.08814226
21	0.102024035	0.0072003	0.821467865	0.059067131
22	0.060974519	0.0117391	0.490949099	0.094761094
23	0.038386286	0.008969	0.309075213	0.072340989
24	0.017439521	0.0101601	0.140417953	0.081829001
