multiplicity	bhat	bhat_err	b	b_err
5	1	0.0164571	6.758056909	0.151252096
6	0.932704709	0.0171838	6.3032715	0.150422931
7	0.865089926	0.0147287	5.846326954	0.133309744
8	0.792833485	0.0137648	5.358013812	0.123524683
9	0.722106526	0.012669	4.880036997	0.11317928
10	0.655478439	0.0118174	4.429760593	0.104368194
11	0.58699717	0.0124266	3.966960283	0.103311154
12	0.516400239	0.0100782	3.4898622	0.086260858
13	0.438576917	0.00928789	2.963927762	0.077207483
14	0.3661582	0.00872778	2.474517953	0.069912572
15	0.288919656	0.00812798	1.952535478	0.062404835
16	0.223240842	0.00767541	1.508674314	0.0566944
17	0.166400403	0.0108984	1.124543393	0.075601377
18	0.116085895	0.00762393	0.784515083	0.052879263
19	0.068223028	0.00859924	0.461055106	0.058533425
20	0.042993394	0.0152589	0.290551801	0.103214647
21	0.023248498	0.0128972	0.157114671	0.087192586
