multiplicity	bhat	bhat_err	b	b_err
5	1	0.0158419	6.890195439	0.14953454
6	0.926693679	0.0149328	6.385100564	0.139846266
7	0.858842245	0.0151981	5.91759092	0.136641611
8	0.788257405	0.0130505	5.431247576	0.120732485
9	0.720854356	0.0126561	4.966827398	0.114159732
10	0.647161837	0.0121688	4.459071536	0.106794394
11	0.578927944	0.0107199	3.988926682	0.094639797
12	0.508753568	0.0102997	3.505411517	0.087977583
13	0.434033932	0.00905856	2.99057862	0.076573777
14	0.361308335	0.0084806	2.489485039	0.069123642
15	0.291658533	0.00819625	2.009584292	0.063858237
16	0.228504594	0.0102859	1.574441312	0.07462073
17	0.165875126	0.00730855	1.142912038	0.05313454
18	0.111779365	0.00756275	0.770181668	0.053346499
19	0.068226949	0.00845118	0.470097013	0.058646322
20	0.041563234	0.0107308	0.286378806	0.074059241
21	0.020052664	0.0116149	0.138166776	0.08005517
