run,begin_time,end_time,elapse,comment
4927,2018-04-03 00:19:45,2018-04-03 10:47:42,10:27:57,"NW cosmic ray: 15MeV HV, threshold: 1MeV; VW on"
4926,2018-04-02 20:53:43,2018-04-03 00:17:10,03:23:27,"NW cosmic ray: Co60 HV, threshold: 1MeV; VW on"
4810,2018-04-01 20:00:13,2018-04-02 11:26:03,15:25:50,"NW cosmic ray: 15MeV HV, threshold: 1MeV; VW on"
4809,2018-03-31 17:33:20,2018-04-01 19:52:29,02:19:09,"NW cosmic ray: Half Voltage of (15MeV+25MeV) HV, threshold: 1MeV; VW on"
4806,2018-03-29 11:18:51,2018-03-30 02:19:02,15:00:11,"NW cosmic ray: 25MeV HV, threshold: 1MeV; VW on"
4804,2018-03-29 10:02:38,2018-03-29 11:10:00,01:07:22,"NW cosmic ray: 25MeV HV, threshold: 1MeV; VW on"
4803,2018-03-27 17:30:40,2018-03-28 08:02:53,14:32:13,"NW cosmic ray: 25MeV HV, threshold: 1MeV; VW on"
3014,2018-03-02 17:13:53,2018-03-05 09:22:16,16:08:23,"NW cosmic rays Co60HV threshold:1MeV"
2989,2018-03-01 17:24:16,2018-03-02 09:24:39,16:00:23,"NW cosmic ray Co60HV threshold:1MeV"
