  nw_bar    vw_bar      nwb_x
      16        21   88.7462
      17         4  -85.7921
      17         5  -75.2931
      17         6  -65.2538
      17         7  -54.8142
      17         8  -44.7094
      17         9  -34.3293
      17        10  -24.1591
      17        11  -13.8384
      17        12   -3.60003
      17        13    6.67223
      17        14   16.9738
      17        15   27.1759
      17        16   37.543
      17        17   47.6856
      17        18   58.1185
      17        19   68.2016
      17        20   78.7002
      17        21   88.7238
      18         4  -85.8039
      18         5  -75.3057
      18         6  -65.2669
      18         7  -54.828
      18         8  -44.7238
      18         9  -34.3443
      18        10  -24.1747
      18        11  -13.8546
      18        12   -3.61684
      18        13    6.6548
      18        14   16.9558
      18        15   27.1572
      18        16   37.5237
      18        17   47.6657
      18        18   58.0979
      18        19   68.1804
      18        20   78.6783
      18        21   88.7013
      19         4  -85.8158
      19         5  -75.3182
      19         6  -65.28
      19         7  -54.8417
      19         8  -44.7381
      19         9  -34.3593
      19        10  -24.1903
      19        11  -13.8708
      19        12   -3.63368
      19        13    6.63735
      19        14   16.9377
      19        15   27.1385
      19        16   37.5044
      19        17   47.6457
      19        18   58.0773
      19        19   68.1591
      19        20   78.6564
      19        21   88.6788
      20         4  -85.8278
      20         5  -75.3307
      20         6  -65.2931
      20         7  -54.8555
      20         8  -44.7525
      20         9  -34.3743
      20        10  -24.2059
      20        11  -13.887
      20        12   -3.65052
      20        13    6.61988
      20        14   16.9196
      20        15   27.1198
      20        16   37.4851
      20        17   47.6257
      20        18   58.0567
      20        19   68.1379
      20        20   78.6345
      20        21   88.6562
      21         4  -85.8397
      21         5  -75.3433
      21         6  -65.3063
      21         7  -54.8693
      21         8  -44.7669
      21         9  -34.3893
      21        10  -24.2215
      21        11  -13.9033
      21        12   -3.66739
      21        13    6.60239
      21        14   16.9015
      21        15   27.101
      21        16   37.4657
      21        17   47.6058
      21        18   58.036
      21        19   68.1166
      21        20   78.6126
      21        21   88.6337
      22         4  -85.8517
      22         5  -75.3559
      22         6  -65.3195
      22         7  -54.8831
      22         8  -44.7813
      22         9  -34.4043
      22        10  -24.2372
      22        11  -13.9195
      22        12   -3.68427
      22        13    6.5858
      22        14   16.8834
      22        15   27.0823
      22        16   37.4463
      22        17   47.5857
      22        18   58.0154
      22        19   68.0954
      22        20   78.5907
      22        21   88.6111
      23         4  -85.8636
      23         5  -75.3685
      23         6  -65.3327
      23         7  -54.8969
      23         8  -44.7958
      23         9  -34.4194
      23        10  -24.2528
      23        11  -13.9358
      23        12   -3.70196
      23        13    6.56855
      23        14   16.8653
      23        15   27.0636
      23        16   37.4269
      23        17   47.5658
      23        18   57.9948
      23        19   68.0741
      23        20   78.5688
      23        21   88.5886
      24         4  -85.8756
      24         5  -75.3811
      24         6  -65.3459
      24         7  -54.9107
      24         8  -44.8102
      24         9  -34.4344
      24        10  -24.2685
      24        11  -13.9521
      24        12   -3.71929
      24        13    6.55102
      24        14   16.8471
      24        15   27.0448
      24        16   37.4075
      24        17   47.5457
      24        18   57.9741
      24        19   68.0528
      24        20   78.5468
      24        21   88.566
