bar,run_start,run_stop,attenuation_length,attenuation_length_error,gain_ratio,gain_ratio_error
9,2488,2517,83.092646,0.51096772,0.94237463,0.0036693522
9,2518,2566,82.829959,0.43896652,0.9511752,0.0030744621
9,2567,2632,83.973651,0.57999931,0.94588946,0.0039536517
9,2633,2652,83.908518,0.26630038,0.95718814,0.0019092244
9,2653,3500,84.283198,0.55268949,0.94775936,0.0037053247
9,3501,4072,77.565094,0.67786021,0.98823684,0.005447809
9,4073,4118,76.96147,0.51444692,1.0236021,0.0045649688
9,4119,4196,78.488964,0.64185698,1.0140985,0.0052339713
9,4197,4332,77.925501,0.2933508,0.99682135,0.0025674511
9,4333,4353,76.33839,0.34220905,0.95297863,0.0029055378
9,4354,5000,76.591836,0.32975332,0.94607529,0.0028504662
10,2001,2147,110.53212,2.6556694,1.1253558,0.012925007
10,2148,2273,110.77907,2.3998373,1.1919964,0.012359666
10,2274,2330,109.80379,0.87012887,1.0962865,0.0043267218
10,2331,2580,109.82392,0.92685597,1.0864468,0.0045079581
10,2581,2602,110.37726,0.95744764,1.1293865,0.0047176452
10,2603,2634,110.37482,0.88586029,1.0872224,0.0042238235
10,2635,2711,110.36334,0.49400677,1.0671727,0.0022997508
10,2712,3500,110.71557,0.94206409,1.103984,0.0047051788
10,3501,4118,104.62103,0.92316619,1.0987865,0.0049312844
10,4119,4193,106.71736,2.1494391,1.1036303,0.010541816
10,4194,4219,105.00539,0.79797763,1.110005,0.0042658451
10,4220,4332,104.872,0.52209614,1.1229657,0.0028672522
10,4333,5000,103.70909,0.56898751,1.1060162,0.0032070091
11,2001,2360,86.593412,1.1128605,1.1046253,0.00854852
11,2361,2488,86.627227,0.61733399,1.1060024,0.0048417501
11,2489,2565,85.973486,0.51828689,1.0935977,0.0040975041
11,2566,2626,86.904938,0.62795508,1.1052146,0.0048186933
11,2627,3500,87.087007,0.52739583,1.1254791,0.0040607109
11,3501,4120,82.164569,0.58599212,1.1436893,0.005313549
11,4121,4198,83.67824,0.66961822,1.1429566,0.0057852717
11,4199,4261,82.300517,0.39423178,1.2889641,0.0040100266
11,4262,4284,82.293497,0.35218039,1.3166687,0.0036889239
11,4285,4332,82.299309,0.35246412,1.1732026,0.003259128
11,4333,4369,81.227023,0.36191097,1.1250621,0.0033347275
11,4370,5000,81.333915,0.38519958,1.1141245,0.0035130551
12,2001,2281,104.24117,2.3372397,1.0008334,0.011417427
12,2282,2357,103.61549,0.92409519,0.96023873,0.004440548
12,2358,2380,103.89327,0.92363874,0.98247285,0.0045072235
12,2381,2498,104.05709,0.94799354,0.99888256,0.0047389023
12,2499,2565,103.41971,0.7281555,1.0108572,0.0036850871
