bar,run_start,run_stop,nonlinear_fast_threshold,linear_fit_params[0],linear_fit_params[1],quadratic_fit_params[0],quadratic_fit_params[1],quadratic_fit_params[2],stationary_point_x,stationary_point_y
5,4225,4375,2652.9535,-47.287685,1.3725239,-19213.422,15.24846,-0.0046348439,3050.3638,3877.3328
5,4376,5000,2933.1397,-17.656462,1.3854676,-86054.425,60.050793,-0.01,3007.4164,4098.138
6,2001,2200,2828.8467,-32.442907,1.2348344,-7563.7722,6.5589385,-0.0009408804,3487.1375,3870.9918
6,2201,2289,2795.0599,-32.276902,1.2360393,-6535.2424,5.8889186,-0.00083154062,3543.3957,3897.4444
6,2290,2565,3165.8001,-5.1047216,1.24053,-83196.695,52.30197,-0.0084477432,3357.3402,4057.1078
6,2566,2609,2850.8706,-36.808696,1.2320791,-8068.0065,6.8669395,-0.00098825401,3474.6477,3860.4143
6,2610,2633,2829.5743,-35.198239,1.2325229,-7347.0768,6.3976364,-0.00091201871,3510.4672,3873.3113
6,2634,2655,2859.2093,-41.412627,1.2357271,-8694.3178,7.2878227,-0.001058306,3443.1807,3852.335
6,2656,2827,2849.3556,-36.00477,1.2330286,-8277.6773,7.0169255,-0.0010147382,3458.332,3853.2492
6,2828,3500,2833.3183,-34.37544,1.2333743,-7660.0239,6.6185278,-0.00095067528,3481.8592,3859.6189
6,3501,4076,2815.3852,-36.349126,1.2369055,-7460.057,6.5004227,-0.00093364849,3481.9725,3859.1692
6,4077,4131,2813.7658,-43.440157,1.2435202,-7859.7137,6.8004533,-0.00098760973,3443.8415,3847.7223
6,4132,4224,2823.4542,-41.922774,1.2380277,-7896.4722,6.7996487,-0.00098433824,3454.4408,3846.0913
6,4225,4354,2835.1647,-44.440448,1.2447127,-8857.3276,7.4594045,-0.001096024,3403.6325,3842.7559
6,4355,5000,3161.9033,-12.725002,1.2738502,-95147.218,61.023177,-0.0095295897,3263.8934,4089.7903
7,2001,2565,2696.3896,-17.341315,1.4067042,-67667.466,48.795993,-0.0086301696,2956.778,4043.3291
7,2566,2624,2500.0,-43.960727,1.4021796,-8837.2278,8.4352988,-0.0014062784,2999.1067,3812.1874
7,2625,3500,2500.0,-45.565345,1.4100232,-9078.0806,8.636066,-0.0014452343,2987.8223,3825.6366
7,3501,4196,2500.0,-53.844565,1.4257211,-10549.127,9.8211859,-0.0016788843,2930.2515,3816.3612
7,4197,4229,2500.0808,-68.429282,1.3848625,-6965.9657,6.9000311,-0.0011026787,3130.0456,3830.8056
