# measurement unit: cm
  vw-bar    dir_x    dir_y    dir_z         x          y         z
      16       -1       -1        1  227.2312  -113.6181  322.3558
      16       -1        1       -1  227.8660   113.6181  323.1295
      16       -1        1        1  227.2312   113.6181  322.3558
      16        1       -1       -1  220.6007  -113.6181  329.0909
      16        1       -1        1  219.9659  -113.6181  328.3172
      16        1        1       -1  220.6007   113.6181  329.0909
      16        1        1        1  219.9659   113.6181  328.3172
      17       -1       -1       -1  221.5912  -113.6181  329.8314
      17       -1       -1        1  220.9564  -113.6181  329.0577
      17       -1        1       -1  221.5912   113.6181  329.8314
      17       -1        1        1  220.9564   113.6181  329.0577
      17        1       -1       -1  214.3260  -113.6181  335.7928
      17        1       -1        1  213.6912  -113.6181  335.0191
      17        1        1       -1  214.3260   113.6181  335.7928
      17        1        1        1  213.6912   113.6181  335.0191
      18       -1       -1       -1  213.7962  -113.6181  334.6742
      18       -1       -1        1  213.1614  -113.6181  333.9006
      18       -1        1       -1  213.7962   113.6181  334.6742
      18       -1        1        1  213.1614   113.6181  333.9006
      18        1       -1       -1  206.5309  -113.6181  340.6356
      18        1       -1        1  205.8961  -113.6181  339.8620
      18        1        1       -1  206.5309   113.6181  340.6356
      18        1        1        1  205.8961   113.6181  339.8620
      19       -1       -1       -1  207.5214  -113.6181  341.3761
      19       -1       -1        1  206.8866  -113.6181  340.6025
      19       -1        1       -1  207.5214   113.6181  341.3761
      19       -1        1        1  206.8866   113.6181  340.6025
      19        1       -1       -1  200.2562  -113.6181  347.3375
      19        1       -1        1  199.6214  -113.6181  346.5639
      19        1        1       -1  200.2562   113.6181  347.3375
      19        1        1        1  199.6214   113.6181  346.5639
      20       -1       -1       -1  199.7264  -113.6181  346.2189
      20       -1       -1        1  199.0916  -113.6181  345.4453
      20       -1        1       -1  199.7264   113.6181  346.2189
      20       -1        1        1  199.0916   113.6181  345.4453
      20        1       -1       -1  192.4611  -113.6181  352.1803
      20        1       -1        1  191.8263  -113.6181  351.4067
      20        1        1       -1  192.4611   113.6181  352.1803
      20        1        1        1  191.8263   113.6181  351.4067
      21       -1       -1       -1  193.4516  -113.6181  352.9208
      21       -1       -1        1  192.8168  -113.6181  352.1472
      21       -1        1       -1  193.4516   113.6181  352.9208
      21       -1        1        1  192.8168   113.6181  352.1472
      21        1       -1       -1  186.1864  -113.6181  358.8822
      21        1       -1        1  185.5516  -113.6181  358.1086
      21        1        1       -1  186.1864   113.6181  358.8822
