*Tele EF EB theta(degree) phi(degree)
   0  6  6       27.5566     180.258
   0  6  7       27.5577     179.507
   0  6  8       27.5628     178.756
   0  6  9       27.5719     178.005
   0  6 10       27.5851     177.254
   0  6 11       27.6024     176.503
   0  6 12       27.6237     175.753
   0  6 13       27.6490     175.003
   0  6 14       27.6783     174.255
   0  6 15       27.7117     173.509
   0  6 16       27.7491     172.764
   0  6 17       27.7904     172.021
   0  6 18       27.8358     171.280
   0  6 19       27.8850     170.542
   0  6 20       27.9382     169.806
   0  6 21       27.9952     169.073
   0  6 22       28.0561     168.343
   0  6 23       28.1208     167.617
   0  6 24       28.1893     166.894
   0  6 25       28.2615     166.175
   0  6 26       28.3374     165.459
   0  6 27       28.4170     164.748
   0  6 28       28.5001     164.041
   0  6 29       28.5869     163.339
   0  6 30       28.6771     162.641
   0  6 31       28.7708     161.948
   0  7  0       27.9800     184.694
   0  7  1       27.9575     183.959
   0  7  2       27.9389     183.221
   0  7  3       27.9243     182.483
   0  7  4       27.9135     181.743
   0  7  5       27.9067     181.001
   0  7  6       27.9039     180.259
   0  7  7       27.9051     179.517
   0  7  8       27.9102     178.774
   0  7  9       27.9194     178.031
   0  7 10       27.9325     177.288
   0  7 11       27.9496     176.545
   0  7 12       27.9707     175.803
   0  7 13       27.9958     175.062
   0  7 14       28.0249     174.323
   0  7 15       28.0579     173.584
   0  7 16       28.0949     172.847
   0  7 17       28.1358     172.112
   0  7 18       28.1806     171.380
   0  7 19       28.2293     170.649
   0  7 20       28.2818     169.921
   0  7 21       28.3382     169.196
   0  7 22       28.3984     168.474
   0  7 23       28.4623     167.755
   0  7 24       28.5300     167.039
   0  7 25       28.6014     166.327
   0  7 26       28.6764     165.619
   0  7 27       28.7550     164.914
   0  7 28       28.8372     164.214
   0  7 29       28.9229     163.518
   0  7 30       29.0121     162.827
   0  7 31       29.1047     162.140
   0  8  0       28.3259     184.647
   0  8  1       28.3038     183.919
   0  8  2       28.2856     183.190
   0  8  3       28.2712     182.459
   0  8  4       28.2608     181.727
   0  8  5       28.2542     180.994
   0  8  6       28.2515     180.260
   0  8  7       28.2528     179.526
   0  8  8       28.2580     178.791
   0  8  9       28.2671     178.056
   0  8 10       28.2802     177.321
   0  8 11       28.2972     176.587
   0  8 12       28.3181     175.853
   0  8 13       28.3430     175.120
   0  8 14       28.3717     174.388
   0  8 15       28.4044     173.658
   0  8 16       28.4410     172.929
   0  8 17       28.4815     172.202
   0  8 18       28.5258     171.477
   0  8 19       28.5739     170.754
   0  8 20       28.6259     170.034
   0  8 21       28.6816     169.316
   0  8 22       28.7411     168.601
   0  8 23       28.8042     167.889
   0  8 24       28.8711     167.181
   0  8 25       28.9417     166.476
   0  8 26       29.0158     165.775
   0  8 27       29.0935     165.077
   0  8 28       29.1747     164.384
   0  8 29       29.2594     163.694
   0  8 30       29.3475     163.010
   0  8 31       29.4390     162.329
   0  9  0       28.6720     184.600
   0  9  1       28.6503     183.881
   0  9  2       28.6325     183.159
   0  9  3       28.6184     182.436
   0  9  4       28.6082     181.712
   0  9  5       28.6019     180.987
   0  9  6       28.5993     180.261
   0  9  7       28.6007     179.535
   0  9  8       28.6059     178.808
   0  9  9       28.6151     178.081
   0  9 10       28.6281     177.354
   0  9 11       28.6449     176.628
   0  9 12       28.6657     175.902
   0  9 13       28.6903     175.177
   0  9 14       28.7188     174.453
   0  9 15       28.7512     173.730
   0  9 16       28.7874     173.009
