*Tele EF EB theta(degree) phi(degree)
   1 21 29       33.2488     190.797
   1 21 30       33.1974     190.172
   1 21 31       33.1491     189.545
   1 22  0       36.3471     207.659
   1 22  1       36.2154     207.121
   1 22  2       36.0860     206.579
   1 22  3       35.9589     206.033
   1 22  4       35.8341     205.483
   1 22  5       35.7118     204.929
   1 22  6       35.5919     204.371
   1 22  7       35.4745     203.809
   1 22  8       35.3596     203.244
   1 22  9       35.2472     202.676
   1 22 10       35.1375     202.103
   1 22 11       35.0305     201.528
   1 22 12       34.9261     200.949
   1 22 13       34.8244     200.367
   1 22 14       34.7255     199.782
   1 22 15       34.6294     199.194
   1 22 16       34.5361     198.602
   1 22 17       34.4456     198.008
   1 22 18       34.3580     197.412
   1 22 19       34.2734     196.812
   1 22 20       34.1917     196.210
   1 22 21       34.1129     195.606
   1 22 22       34.0371     195.000
   1 22 23       33.9644     194.391
   1 22 24       33.8947     193.781
   1 22 25       33.8280     193.168
   1 22 26       33.7644     192.554
   1 22 27       33.7039     191.938
   1 22 28       33.6465     191.321
   1 22 29       33.5922     190.702
   1 22 30       33.5411     190.083
   1 22 31       33.4931     189.462
   1 23  0       36.6663     207.434
   1 23  1       36.5358     206.899
   1 23  2       36.4076     206.360
   1 23  3       36.2816     205.818
   1 23  4       36.1580     205.271
   1 23  5       36.0368     204.721
   1 23  6       35.9180     204.167
   1 23  7       35.8017     203.609
   1 23  8       35.6879     203.048
   1 23  9       35.5766     202.484
   1 23 10       35.4679     201.916
   1 23 11       35.3618     201.345
   1 23 12       35.2584     200.770
   1 23 13       35.1576     200.192
   1 23 14       35.0596     199.612
   1 23 15       34.9644     199.028
   1 23 16       34.8719     198.442
   1 23 17       34.7822     197.852
   1 23 18       34.6954     197.261
   1 23 19       34.6115     196.666
   1 23 20       34.5305     196.069
   1 23 21       34.4524     195.470
   1 23 22       34.3772     194.869
   1 23 23       34.3051     194.266
   1 23 24       34.2359     193.660
   1 23 25       34.1697     193.053
   1 23 26       34.1066     192.444
   1 23 27       34.0465     191.834
   1 23 28       33.9895     191.222
   1 23 29       33.9356     190.609
   1 23 30       33.8847     189.995
   1 23 31       33.8370     189.380
   1 24  0       36.9857     207.212
   1 24  1       36.8564     206.681
   1 24  2       36.7294     206.145
   1 24  3       36.6046     205.606
   1 24  4       36.4822     205.063
   1 24  5       36.3621     204.517
   1 24  6       36.2444     203.966
   1 24  7       36.1292     203.413
   1 24  8       36.0164     202.856
   1 24  9       35.9061     202.295
   1 24 10       35.7984     201.731
   1 24 11       35.6933     201.164
   1 24 12       35.5908     200.594
   1 24 13       35.4910     200.021
   1 24 14       35.3938     199.444
   1 24 15       35.2994     198.865
   1 24 16       35.2078     198.284
   1 24 17       35.1189     197.699
   1 24 18       35.0328     197.112
   1 24 19       34.9496     196.522
   1 24 20       34.8693     195.931
   1 24 21       34.7918     195.336
   1 24 22       34.7173     194.740
   1 24 23       34.6457     194.142
   1 24 24       34.5770     193.542
   1 24 25       34.5114     192.940
   1 24 26       34.4487     192.337
   1 24 27       34.3891     191.732
   1 24 28       34.3324     191.125
   1 24 29       34.2788     190.518
   1 24 30       34.2283     189.909
   1 24 31       34.1808     189.299
   1 25  0       37.3053     206.994
   1 25  1       37.1772     206.465
   1 25  2       37.0514     205.933
   1 25  3       36.9278     205.398
   1 25  4       36.8065     204.858
   1 25  5       36.6875     204.315
   1 25  6       36.5709     203.769
   1 25  7       36.4567     203.219
   1 25  8       36.3450     202.666
   1 25  9       36.2357     202.109
   1 25 10       36.1290     201.550
   1 25 11       36.0249     200.987
   1 25 12       35.9233     200.421
   1 25 13       35.8244     199.852
   1 25 14       35.7281     199.280
   1 25 15       35.6345     198.706
   1 25 16       35.5436     198.128
   1 25 17       35.4555     197.548
   1 25 18       35.3702     196.966
   1 25 19       35.2877     196.381
   1 25 20       35.2080     195.794
   1 25 21       35.1312     195.205
   1 25 22       35.0573     194.614
   1 25 23       34.9862     194.021
   1 25 24       34.9181     193.426
   1 25 25       34.8530     192.829
   1 25 26       34.7907     192.231
   1 25 27       34.7315     191.631
   1 25 28       34.6752     191.030
   1 25 29       34.6220     190.428
   1 25 30       34.5717     189.824
   1 25 31       34.5245     189.220
   1 26  0       37.6251     206.779
   1 26  1       37.4983     206.254
   1 26  2       37.3736     205.725
   1 26  3       37.2511     205.193
   1 26  4       37.1310     204.657
   1 26  5       37.0131     204.117
   1 26  6       36.8976     203.575
   1 26  7       36.7844     203.029
   1 26  8       36.6737     202.479
   1 26  9       36.5655     201.927
   1 26 10       36.4597     201.371
   1 26 11       36.3565     200.812
   1 26 12       36.2558     200.251
   1 26 13       36.1578     199.686
   1 26 14       36.0624     199.118
   1 26 15       35.9696     198.548
   1 26 16       35.8795     197.976
   1 26 17       35.7922     197.400
   1 26 18       35.7076     196.823
   1 26 19       35.6258     196.243
   1 26 20       35.5468     195.660
   1 26 21       35.4706     195.076
   1 26 22       35.3972     194.490
   1 26 23       35.3267     193.902
   1 26 24       35.2591     193.312
   1 26 25       35.1944     192.720
   1 26 26       35.1326     192.127
   1 26 27       35.0738     191.532
   1 26 28       35.0179     190.936
   1 26 29       34.9650     190.339
   1 26 30       34.9150     189.742
   1 26 31       34.8680     189.143
   1 27  0       37.9452     206.567
   1 27  1       37.8195     206.045
   1 27  2       37.6959     205.520
   1 27  3       37.5746     204.991
   1 27  4       37.4555     204.458
   1 27  5       37.3387     203.923
   1 27  6       37.2243     203.384
   1 27  7       37.1122     202.841
   1 27  8       37.0025     202.296
   1 27  9       36.8952     201.747
   1 27 10       36.7904     201.195
   1 27 11       36.6881     200.641
   1 27 12       36.5884     200.083
   1 27 13       36.4912     199.523
   1 27 14       36.3966     198.959
   1 27 15       36.3047     198.394
   1 27 16       36.2154     197.825
   1 27 17       36.1288     197.255
   1 27 18       36.0449     196.682
   1 27 19       35.9638     196.106
   1 27 20       35.8854     195.529
   1 27 21       35.8098     194.949
   1 27 22       35.7370     194.368
   1 27 23       35.6671     193.784
   1 27 24       35.6000     193.199
   1 27 25       35.5358     192.613
   1 27 26       35.4744     192.025
   1 27 27       35.4160     191.435
   1 27 28       35.3604     190.845
   1 27 29       35.3078     190.253
   1 27 30       35.2581     189.660
   1 27 31       35.2114     189.066
   1 28  0       38.2653     206.358
   1 28  1       38.1408     205.839
   1 28  2       38.0184     205.317
   1 28  3       37.8982     204.792
   1 28  4       37.7802     204.263
   1 28  5       37.6645     203.731
   1 28  6       37.5511     203.195
   1 28  7       37.4400     202.657
   1 28  8       37.3313     202.115
   1 28  9       37.2250     201.570
   1 28 10       37.1211     201.022
   1 28 11       37.0198     200.472
   1 28 12       36.9209     199.918
   1 28 13       36.8246     199.362
   1 28 14       36.7308     198.803
   1 28 15       36.6397     198.242
   1 28 16       36.5512     197.678
   1 28 17       36.4653     197.111
   1 28 18       36.3821     196.543
   1 28 19       36.3016     195.972
   1 28 20       36.2239     195.399
   1 28 21       36.1489     194.824
   1 28 22       36.0767     194.248
   1 28 23       36.0073     193.669
   1 28 24       35.9407     193.089
   1 28 25       35.8769     192.507
   1 28 26       35.8160     191.924
   1 28 27       35.7579     191.340
   1 28 28       35.7027     190.754
   1 28 29       35.6504     190.168
   1 28 30       35.6010     189.580
   1 28 31       35.5545     188.991
   1 29  0       38.5856     206.152
   1 29  1       38.4622     205.637
   1 29  2       38.3409     205.118
   1 29  3       38.2218     204.596
   1 29  4       38.1049     204.071
   1 29  5       37.9903     203.542
   1 29  6       37.8779     203.010
   1 29  7       37.7678     202.475
   1 29  8       37.6601     201.937
   1 29  9       37.5547     201.396
   1 29 10       37.4518     200.852
   1 29 11       37.3514     200.306
   1 29 12       37.2534     199.756
   1 29 13       37.1579     199.204
   1 29 14       37.0650     198.649
   1 29 15       36.9746     198.092
   1 29 16       36.8868     197.533
   1 29 17       36.8017     196.971
   1 29 18       36.7192     196.407
   1 29 19       36.6394     195.840
   1 29 20       36.5623     195.272
   1 29 21       36.4879     194.702
   1 29 22       36.4162     194.130
   1 29 23       36.3473     193.556
   1 29 24       36.2812     192.981
   1 29 25       36.2179     192.404
   1 29 26       36.1574     191.826
   1 29 27       36.0997     191.246
   1 29 28       36.0448     190.665
   1 29 29       35.9928     190.084
   1 29 30       35.9437     189.501
   1 29 31       35.8974     188.918
   1 30  0       38.9059     205.950
   1 30  1       38.7836     205.437
   1 30  2       38.6635     204.922
   1 30  3       38.5455     204.403
   1 30  4       38.4296     203.881
   1 30  5       38.3160     203.356
   1 30  6       38.2047     202.828
   1 30  7       38.0956     202.296
   1 30  8       37.9889     201.762
   1 30  9       37.8845     201.225
   1 30 10       37.7825     200.685
   1 30 11       37.6829     200.142
   1 30 12       37.5858     199.597
   1 30 13       37.4911     199.049
   1 30 14       37.3990     198.498
   1 30 15       37.3094     197.945
   1 30 16       37.2224     197.390
   1 30 17       37.1380     196.832
   1 30 18       37.0562     196.272
   1 30 19       36.9770     195.711
   1 30 20       36.9005     195.147
   1 30 21       36.8267     194.581
   1 30 22       36.7556     194.014
   1 30 23       36.6872     193.445
   1 30 24       36.6215     192.874
   1 30 25       36.5587     192.302
   1 30 26       36.4986     191.729
   1 30 27       36.4412     191.154
   1 30 28       36.3867     190.578
   1 30 29       36.3350     190.001
   1 30 30       36.2861     189.424
   1 30 31       36.2400     188.845
   1 31  0       39.2262     205.750
   1 31  1       39.1051     205.241
   1 31  2       38.9861     204.729
   1 31  3       38.8691     204.213
   1 31  4       38.7544     203.694
   1 31  5       38.6418     203.173
   1 31  6       38.5314     202.648
   1 31  7       38.4234     202.120
   1 31  8       38.3176     201.590
   1 31  9       38.2141     201.056
   1 31 10       38.1130     200.520
   1 31 11       38.0143     199.981
   1 31 12       37.9180     199.440
   1 31 13       37.8242     198.896
   1 31 14       37.7329     198.349
   1 31 15       37.6441     197.800
   1 31 16       37.5578     197.249
   1 31 17       37.4741     196.696
   1 31 18       37.3929     196.141
   1 31 19       37.3144     195.583
   1 31 20       37.2385     195.024
   1 31 21       37.1652     194.463
   1 31 22       37.0947     193.900
   1 31 23       37.0268     193.335
   1 31 24       36.9616     192.769
   1 31 25       36.8992     192.202
   1 31 26       36.8395     191.633
   1 31 27       36.7825     191.063
   1 31 28       36.7283     190.493
   1 31 29       36.6769     189.921
   1 31 30       36.6282     189.348
   1 31 31       36.5824     188.774
   2  0  0       37.4502     233.540
   2  0  1       37.2145     233.132
   2  0  2       36.9799     232.718
   2  0  3       36.7464     232.300
   2  0  4       36.5142     231.877
   2  0  5       36.2833     231.448
   2  0  6       36.0537     231.014
   2  0  7       35.8255     230.576
   2  0  8       35.5987     230.131
   2  0  9       35.3734     229.682
   2  0 10       35.1496     229.228
   2  0 11       34.9274     228.768
   2  0 12       34.7069     228.302
   2  0 13       34.4880     227.832
   2  0 14       34.2709     227.356
   2  0 15       34.0555     226.874
   2  0 16       33.8421     226.387
   2  0 17       33.6305     225.894
   2  0 18       33.4208     225.396
   2  0 19       33.2132     224.893
   2  0 20       33.0077     224.384
   2  0 21       32.8042     223.869
   2  0 22       32.6030     223.349
   2  0 23       32.4039     222.823
   2  0 24       32.2072     222.291
   2  0 25       32.0127     221.754
   2  0 26       31.8207     221.212
   2  0 27       31.6310     220.664
   2  0 28       31.4439     220.110
   2  0 29       31.2593     219.551
   2  0 30       31.0773     218.986
   2  0 31       30.8979     218.416
   2  1  0       37.7007     233.158
   2  1  1       37.4663     232.749
   2  1  2       37.2330     232.336
   2  1  3       37.0010     231.917
   2  1  4       36.7701     231.494
   2  1  5       36.5405     231.065
   2  1  6       36.3123     230.632
   2  1  7       36.0855     230.193
   2  1  8       35.8600     229.749
   2  1  9       35.6361     229.300
   2  1 10       35.4137     228.846
   2  1 11       35.1929     228.387
   2  1 12       34.9737     227.922
   2  1 13       34.7562     227.452
   2  1 14       34.5405     226.977
   2  1 15       34.3266     226.496
   2  1 16       34.1145     226.010
   2  1 17       33.9043     225.519
   2  1 18       33.6960     225.022
   2  1 19       33.4898     224.520
   2  1 20       33.2856     224.012
   2  1 21       33.0836     223.499
   2  1 22       32.8837     222.980
   2  1 23       32.6860     222.456
   2  1 24       32.4906     221.927
   2  1 25       32.2975     221.392
   2  1 26       32.1068     220.851
   2  1 27       31.9185     220.306
   2  1 28       31.7327     219.754
   2  1 29       31.5494     219.198
   2  1 30       31.3687     218.636
   2  1 31       31.1906     218.069
   2  2  0       37.9527     232.779
   2  2  1       37.7196     232.371
   2  2  2       37.4877     231.957
   2  2  3       37.2570     231.538
   2  2  4       37.0275     231.115
   2  2  5       36.7993     230.687
   2  2  6       36.5724     230.253
   2  2  7       36.3469     229.815
   2  2  8       36.1229     229.372
   2  2  9       35.9003     228.923
   2  2 10       35.6793     228.470
   2  2 11       35.4599     228.011
   2  2 12       35.2421     227.547
   2  2 13       35.0260     227.078
   2  2 14       34.8116     226.603
   2  2 15       34.5991     226.123
   2  2 16       34.3883     225.639
   2  2 17       34.1795     225.148
   2  2 18       33.9727     224.653
   2  2 19       33.7678     224.152
   2  2 20       33.5650     223.646
   2  2 21       33.3643     223.134
   2  2 22       33.1658     222.617
   2  2 23       32.9695     222.095
   2  2 24       32.7754     221.567
   2  2 25       32.5837     221.034
   2  2 26       32.3943     220.496
   2  2 27       32.2073     219.953
   2  2 28       32.0228     219.404
   2  2 29       31.8408     218.850
   2  2 30       31.6614     218.291
   2  2 31       31.4846     217.726
   2  3  0       38.2061     232.405
   2  3  1       37.9744     231.996
   2  3  2       37.7439     231.582
   2  3  3       37.5145     231.164
   2  3  4       37.2863     230.740
   2  3  5       37.0595     230.312
   2  3  6       36.8340     229.879
   2  3  7       36.6099     229.441
   2  3  8       36.3872     228.998
   2  3  9       36.1660     228.550
   2  3 10       35.9463     228.097
   2  3 11       35.7283     227.639
   2  3 12       35.5119     227.176
   2  3 13       35.2971     226.708
   2  3 14       35.0842     226.234
   2  3 15       34.8730     225.755
   2  3 16       34.6636     225.272
   2  3 17       34.4562     224.782
   2  3 18       34.2507     224.288
   2  3 19       34.0472     223.789
   2  3 20       33.8457     223.284
   2  3 21       33.6464     222.774
   2  3 22       33.4492     222.259
   2  3 23       33.2542     221.739
   2  3 24       33.0615     221.213
   2  3 25       32.8711     220.682
   2  3 26       32.6830     220.146
   2  3 27       32.4974     219.605
   2  3 28       32.3142     219.059
   2  3 29       32.1335     218.508
   2  3 30       31.9554     217.951
   2  3 31       31.7798     217.389
   2  4  0       38.4610     232.034
   2  4  1       38.2307     231.625
   2  4  2       38.0014     231.211
   2  4  3       37.7734     230.793
   2  4  4       37.5466     230.370
   2  4  5       37.3211     229.942
   2  4  6       37.0970     229.509
   2  4  7       36.8742     229.072
   2  4  8       36.6529     228.629
   2  4  9       36.4331     228.182
   2  4 10       36.2148     227.729
   2  4 11       35.9981     227.272
   2  4 12       35.7830     226.809
   2  4 13       35.5697     226.342
   2  4 14       35.3581     225.869
   2  4 15       35.1482     225.392
   2  4 16       34.9403     224.909
   2  4 17       34.7342     224.421
   2  4 18       34.5300     223.929
   2  4 19       34.3279     223.431
   2  4 20       34.1278     222.928
   2  4 21       33.9298     222.419
   2  4 22       33.7340     221.906
   2  4 23       33.5403     221.387
   2  4 24       33.3489     220.864
   2  4 25       33.1598     220.335
   2  4 26       32.9730     219.802
   2  4 27       32.7887     219.263
   2  4 28       32.6068     218.719
   2  4 29       32.4274     218.170
   2  4 30       32.2505     217.617
   2  4 31       32.0762     217.058
   2  5  0       38.7173     231.667
   2  5  1       38.4883     231.258
   2  5  2       38.2604     230.844
   2  5  3       38.0337     230.426
   2  5  4       37.8083     230.003
   2  5  5       37.5841     229.576
   2  5  6       37.3614     229.143
   2  5  7       37.1400     228.706
   2  5  8       36.9200     228.264
   2  5  9       36.7015     227.817
   2  5 10       36.4846     227.366
   2  5 11       36.2693     226.909
   2  5 12       36.0556     226.448
   2  5 13       35.8436     225.981
   2  5 14       35.6333     225.510
   2  5 15       35.4248     225.033
   2  5 16       35.2182     224.552
   2  5 17       35.0135     224.065
   2  5 18       34.8107     223.574
   2  5 19       34.6099     223.077
   2  5 20       34.4111     222.576
   2  5 21       34.2145     222.069
   2  5 22       34.0199     221.558
   2  5 23       33.8276     221.041
   2  5 24       33.6375     220.520
   2  5 25       33.4497     219.993
   2  5 26       33.2643     219.462
   2  5 27       33.0812     218.925
   2  5 28       32.9005     218.384
   2  5 29       32.7224     217.838
   2  5 30       32.5468     217.287
   2  5 31       32.3737     216.731
   2  6  0       38.9749     231.303
   2  6  1       38.7473     230.895
   2  6  2       38.5207     230.481
   2  6  3       38.2954     230.063
   2  6  4       38.0713     229.641
   2  6  5       37.8485     229.214
   2  6  6       37.6271     228.782
   2  6  7       37.4070     228.345
   2  6  8       37.1884     227.904
   2  6  9       36.9713     227.457
   2  6 10       36.7557     227.006
   2  6 11       36.5418     226.551
   2  6 12       36.3294     226.090
   2  6 13       36.1188     225.624
   2  6 14       35.9099     225.154
   2  6 15       35.7027     224.679
   2  6 16       35.4975     224.199
   2  6 17       35.2941     223.713
   2  6 18       35.0926     223.223
   2  6 19       34.8931     222.729
   2  6 20       34.6957     222.229
   2  6 21       34.5004     221.724
   2  6 22       34.3072     221.214
   2  6 23       34.1161     220.700
   2  6 24       33.9273     220.180
   2  6 25       33.7408     219.656
   2  6 26       33.5566     219.127
   2  6 27       33.3748     218.593
   2  6 28       33.1954     218.054
   2  6 29       33.0185     217.511
   2  6 30       32.8441     216.963
   2  6 31       32.6723     216.410
   2  7  0       39.2339     230.944
   2  7  1       39.0075     230.535
   2  7  2       38.7823     230.122
   2  7  3       38.5584     229.705
   2  7  4       38.3356     229.282
   2  7  5       38.1142     228.855
   2  7  6       37.8941     228.424
   2  7  7       37.6754     227.988
   2  7  8       37.4581     227.547
   2  7  9       37.2424     227.102
   2  7 10       37.0281     226.651
   2  7 11       36.8155     226.196
   2  7 12       36.6045     225.737
   2  7 13       36.3952     225.272
   2  7 14       36.1877     224.803
   2  7 15       35.9819     224.329
   2  7 16       35.7779     223.850
   2  7 17       35.5759     223.366
   2  7 18       35.3757     222.878
   2  7 19       35.1776     222.385
   2  7 20       34.9815     221.886
   2  7 21       34.7874     221.383
   2  7 22       34.5955     220.876
   2  7 23       34.4058     220.363
   2  7 24       34.2183     219.846
   2  7 25       34.0331     219.324
   2  7 26       33.8501     218.797
   2  7 27       33.6696     218.266
   2  7 28       33.4914     217.729
   2  7 29       33.3157     217.189
   2  7 30       33.1426     216.643
   2  7 31       32.9719     216.093
   2  8  0       39.4941     230.588
   2  8  1       39.2691     230.180
   2  8  2       39.0453     229.767
   2  8  3       38.8226     229.349
   2  8  4       38.6012     228.928
   2  8  5       38.3811     228.501
   2  8  6       38.1624     228.070
   2  8  7       37.9450     227.635
   2  8  8       37.7291     227.195
   2  8  9       37.5147     226.750
   2  8 10       37.3018     226.301
   2  8 11       37.0905     225.847
   2  8 12       36.8809     225.388
   2  8 13       36.6729     224.924
   2  8 14       36.4667     224.456
   2  8 15       36.2622     223.984
   2  8 16       36.0596     223.506
   2  8 17       35.8589     223.024
   2  8 18       35.6601     222.537
   2  8 19       35.4632     222.045
   2  8 20       35.2684     221.549
   2  8 21       35.0757     221.048
   2  8 22       34.8851     220.542
   2  8 23       34.6966     220.031
   2  8 24       34.5104     219.516
   2  8 25       34.3264     218.996
   2  8 26       34.1447     218.472
   2  8 27       33.9654     217.943
   2  8 28       33.7885     217.409
   2  8 29       33.6140     216.871
   2  8 30       33.4420     216.329
   2  8 31       33.2725     215.782
   2  9  0       39.7556     230.236
   2  9  1       39.5319     229.828
   2  9  2       39.3094     229.415
   2  9  3       39.0881     228.998
   2  9  4       38.8680     228.577
   2  9  5       38.6493     228.151
   2  9  6       38.4318     227.721
   2  9  7       38.2158     227.286
   2  9  8       38.0013     226.846
   2  9  9       37.7882     226.402
   2  9 10       37.5766     225.954
   2  9 11       37.3667     225.501
   2  9 12       37.1584     225.043
   2  9 13       36.9517     224.581
   2  9 14       36.7468     224.114
   2  9 15       36.5437     223.642
   2  9 16       36.3424     223.166
   2  9 17       36.1430     222.686
   2  9 18       35.9455     222.200
   2  9 19       35.7500     221.710
   2  9 20       35.5564     221.215
   2  9 21       35.3650     220.716
   2  9 22       35.1757     220.212
   2  9 23       34.9885     219.704
   2  9 24       34.8035     219.191
   2  9 25       34.6208     218.673
   2  9 26       34.4403     218.151
   2  9 27       34.2622     217.625
   2  9 28       34.0865     217.094
   2  9 29       33.9132     216.559
   2  9 30       33.7424     216.019
   2  9 31       33.5741     215.475
   2 10  0       40.0183     229.887
   2 10  1       39.7959     229.480
   2 10  2       39.5747     229.067
   2 10  3       39.3548     228.651
   2 10  4       39.1360     228.230
   2 10  5       38.9186     227.805
   2 10  6       38.7025     227.375
   2 10  7       38.4878     226.941
   2 10  8       38.2746     226.502
   2 10  9       38.0629     226.059
   2 10 10       37.8527     225.611
   2 10 11       37.6440     225.159
   2 10 12       37.4370     224.703
   2 10 13       37.2317     224.242
   2 10 14       37.0281     223.776
   2 10 15       36.8263     223.306
   2 10 16       36.6263     222.831
   2 10 17       36.4282     222.352
   2 10 18       36.2320     221.868
   2 10 19       36.0378     221.380
   2 10 20       35.8455     220.887
   2 10 21       35.6554     220.389
   2 10 22       35.4673     219.888
   2 10 23       35.2814     219.381
   2 10 24       35.0976     218.870
   2 10 25       34.9161     218.355
   2 10 26       34.7369     217.836
   2 10 27       34.5600     217.312
   2 10 28       34.3855     216.783
   2 10 29       34.2134     216.251
   2 10 30       34.0438     215.714
   2 10 31       33.8766     215.172
   2 11  0       40.2821     229.543
   2 11  1       40.0611     229.135
   2 11  2       39.8412     228.723
   2 11  3       39.6226     228.307
   2 11  4       39.4052     227.887
   2 11  5       39.1891     227.462
   2 11  6       38.9743     227.033
   2 11  7       38.7610     226.600
   2 11  8       38.5491     226.162
   2 11  9       38.3387     225.720
   2 11 10       38.1298     225.273
   2 11 11       37.9225     224.822
   2 11 12       37.7168     224.366
   2 11 13       37.5128     223.906
   2 11 14       37.3105     223.442
   2 11 15       37.1100     222.973
   2 11 16       36.9113     222.500
   2 11 17       36.7145     222.022
   2 11 18       36.5196     221.540
   2 11 19       36.3266     221.054
   2 11 20       36.1357     220.562
   2 11 21       35.9468     220.067
   2 11 22       35.7599     219.567
   2 11 23       35.5753     219.063
   2 11 24       35.3928     218.554
   2 11 25       35.2125     218.041
   2 11 26       35.0345     217.524
   2 11 27       34.8588     217.003
   2 11 28       34.6854     216.477
   2 11 29       34.5145     215.947
   2 11 30       34.3460     215.413
   2 11 31       34.1800     214.875
   2 12  0       40.5471     229.201
   2 12  1       40.3274     228.794
   2 12  2       40.1088     228.383
   2 12  3       39.8915     227.967
   2 12  4       39.6754     227.547
   2 12  5       39.4607     227.123
   2 12  6       39.2473     226.695
   2 12  7       39.0352     226.262
   2 12  8       38.8247     225.825
   2 12  9       38.6156     225.384
   2 12 10       38.4080     224.938
   2 12 11       38.2020     224.489
   2 12 12       37.9976     224.034
   2 12 13       37.7950     223.575
   2 12 14       37.5940     223.112
   2 12 15       37.3948     222.645
   2 12 16       37.1974     222.173
   2 12 17       37.0018     221.697
   2 12 18       36.8082     221.217
   2 12 19       36.6165     220.732
   2 12 20       36.4268     220.243
   2 12 21       36.2391     219.749
   2 12 22       36.0536     219.251
   2 12 23       35.8701     218.749
   2 12 24       35.6888     218.243
   2 12 25       35.5097     217.732
   2 12 26       35.3329     217.217
   2 12 27       35.1584     216.698
   2 12 28       34.9863     216.175
   2 12 29       34.8165     215.648
   2 12 30       34.6491     215.117
   2 12 31       34.4842     214.581
   2 13  0       40.8131     228.864
   2 13  1       40.5947     228.457
   2 13  2       40.3775     228.046
   2 13  3       40.1615     227.631
   2 13  4       39.9468     227.212
   2 13  5       39.7333     226.788
   2 13  6       39.5212     226.361
   2 13  7       39.3105     225.929
   2 13  8       39.1013     225.493
   2 13  9       38.8935     225.053
   2 13 10       38.6872     224.608
   2 13 11       38.4826     224.159
   2 13 12       38.2795     223.706
   2 13 13       38.0781     223.249
   2 13 14       37.8784     222.787
   2 13 15       37.6805     222.321
   2 13 16       37.4844     221.851
   2 13 17       37.2901     221.376
   2 13 18       37.0977     220.897
   2 13 19       36.9073     220.414
   2 13 20       36.7189     219.927
   2 13 21       36.5324     219.435
   2 13 22       36.3481     218.940
   2 13 23       36.1658     218.440
   2 13 24       35.9858     217.936
   2 13 25       35.8079     217.427
   2 13 26       35.6323     216.915
   2 13 27       35.4589     216.398
   2 13 28       35.2879     215.878
   2 13 29       35.1193     215.353
   2 13 30       34.9530     214.825
   2 13 31       34.7892     214.293
   2 14  0       41.0802     228.529
   2 14  1       40.8632     228.123
   2 14  2       40.6473     227.713
   2 14  3       40.4326     227.298
   2 14  4       40.2191     226.880
   2 14  5       40.0070     226.457
   2 14  6       39.7962     226.030
   2 14  7       39.5868     225.599
   2 14  8       39.3789     225.164
   2 14  9       39.1724     224.725
   2 14 10       38.9675     224.281
   2 14 11       38.7641     223.834
   2 14 12       38.5623     223.382
   2 14 13       38.3622     222.926
   2 14 14       38.1638     222.465
   2 14 15       37.9672     222.001
   2 14 16       37.7723     221.532
   2 14 17       37.5793     221.059
   2 14 18       37.3882     220.582
   2 14 19       37.1990     220.101
   2 14 20       37.0118     219.615
   2 14 21       36.8266     219.126
   2 14 22       36.6435     218.632
   2 14 23       36.4625     218.134
   2 14 24       36.2836     217.633
   2 14 25       36.1069     217.127
   2 14 26       35.9324     216.617
   2 14 27       35.7602     216.103
   2 14 28       35.5904     215.585
   2 14 29       35.4228     215.063
   2 14 30       35.2577     214.538
   2 14 31       35.0950     214.008
   2 15  0       41.3483     228.199
   2 15  1       41.1326     227.793
   2 15  2       40.9180     227.383
   2 15  3       40.7046     226.969
   2 15  4       40.4925     226.552
   2 15  5       40.2817     226.130
   2 15  6       40.0722     225.704
   2 15  7       39.8641     225.274
   2 15  8       39.6575     224.839
   2 15  9       39.4523     224.401
   2 15 10       39.2487     223.959
   2 15 11       39.0466     223.512
   2 15 12       38.8461     223.061
   2 15 13       38.6473     222.607
   2 15 14       38.4502     222.148
   2 15 15       38.2548     221.685
   2 15 16       38.0612     221.218
   2 15 17       37.8695     220.746
   2 15 18       37.6796     220.271
   2 15 19       37.4916     219.792
   2 15 20       37.3057     219.308
   2 15 21       37.1217     218.820
   2 15 22       36.9397     218.329
   2 15 23       36.7599     217.833
   2 15 24       36.5822     217.334
   2 15 25       36.4067     216.830
   2 15 26       36.2334     216.323
   2 15 27       36.0623     215.811
   2 15 28       35.8936     215.296
   2 15 29       35.7271     214.777
   2 15 30       35.5631     214.254
   2 15 31       35.4015     213.728
   2 16  0       41.6174     227.872
   2 16  1       41.4030     227.466
   2 16  2       41.1897     227.057
   2 16  3       40.9776     226.644
   2 16  4       40.7668     226.227
   2 16  5       40.5573     225.806
   2 16  6       40.3491     225.381
   2 16  7       40.1424     224.951
   2 16  8       39.9370     224.518
   2 16  9       39.7331     224.081
   2 16 10       39.5308     223.640
   2 16 11       39.3300     223.194
   2 16 12       39.1308     222.745
   2 16 13       38.9332     222.292
   2 16 14       38.7374     221.834
   2 16 15       38.5433     221.373
   2 16 16       38.3509     220.907
   2 16 17       38.1604     220.438
   2 16 18       37.9718     219.964
   2 16 19       37.7851     219.486
   2 16 20       37.6003     219.005
   2 16 21       37.4175     218.519
   2 16 22       37.2368     218.030
   2 16 23       37.0581     217.536
   2 16 24       36.8816     217.039
   2 16 25       36.7072     216.538
   2 16 26       36.5351     216.033
   2 16 27       36.3651     215.524
   2 16 28       36.1975     215.012
   2 16 29       36.0322     214.495
   2 16 30       35.8692     213.975
   2 16 31       35.7086     213.452
   2 17  0       41.8874     227.548
   2 17  1       41.6743     227.143
   2 17  2       41.4623     226.735
   2 17  3       41.2516     226.322
   2 17  4       41.0421     225.906
   2 17  5       40.8338     225.486
