bar,run_start,run_stop,att_length,att_length_std,gain_ratio,gain_ratio_std,log_light_ratio_spread,log_light_ratio_spread_std
1,2077,2160,100.9678888888889,0.25411915159994525,1.0126411111111109,0.001916724314753002,0.14005233333333336,0.0026001835405302506
1,2161,2566,100.14547362637362,0.32768391692959575,1.016142087912088,0.0018964081239256666,0.17152314285714285,0.002336101103164677
1,2567,2634,100.78320689655173,0.21417916755489189,1.0132055172413794,0.0012707738240031847,0.17523855172413794,0.0021474610604025647
1,2635,2710,101.86018181818181,0.25024090871936444,0.9982953636363635,0.0015760185320049733,0.18363472727272728,0.00292429289326836
1,2711,2870,100.92584848484849,0.20132517360729546,1.0034937272727273,0.00492850744677258,0.18103257575757573,0.006438727382399945
1,2871,3500,96.50744999999999,0.29475496528273093,0.9850111470588234,0.007252268854448057,0.3000295294117647,0.019492972824668192
1,3501,4327,96.95056666666666,0.21377104031362126,1.0222742424242424,0.0019683357534222234,0.2935545606060606,0.013276502863202717
1,4328,4661,94.6540876923077,0.18542667512664066,1.0172637692307693,0.0024300735238590946,0.2138936846153846,0.005564683983057958
2,2077,2262,112.94475,0.47096527207428046,0.87629575,0.0024989505772423743,0.16036014999999998,0.004804675444553982
2,2263,2500,113.81504687500001,0.3698794748667928,0.8741205937500001,0.001743026612665724,0.18356059375,0.003202657181538625
2,2501,2544,113.03286666666666,0.21699273925385046,0.8666055999999999,0.0011713006331994088,0.1813017333333333,0.0018651808300775812
2,2545,2626,114.1418888888889,0.25091231068706216,0.8650406296296296,0.001233243034176281,0.20091455555555557,0.0040646717723924475
2,2627,2741,115.11172413793102,0.27291439816855523,0.8538911379310344,0.0049077651120207596,0.19641455172413794,0.010458983271566639
2,2742,2870,113.97925000000001,0.3405222276151738,0.856109,0.0032761380770657262,0.19082925,0.004217799401050271
2,2871,3500,108.27566666666665,0.29110757843488366,0.8014512,0.005350792355031796,0.25707976666666665,0.010730930555123766
2,3501,4199,109.61461538461539,0.2401539693490032,0.8006353076923077,0.008817054465284137,0.26758469230769233,0.013527859870450918
2,4200,4327,108.08136363636366,0.2534374130116739,0.8244830181818182,0.003036549192697096,0.3051297090909091,0.007642028611382584
2,4328,4661,106.09736923076923,0.24816660466033458,0.7936074769230769,0.0012543091645350825,0.20513591538461542,0.003958661442447074
3,2077,2267,88.2124761904762,0.2923049677905113,1.0990538095238094,0.0032148264800844293,0.15960395238095237,0.003998383059809366
3,2268,2510,89.497065625,0.20515457451238833,1.1016726562499999,0.00258001831521327,0.205073796875,0.002248623920726903
3,2511,2543,88.8181909090909,0.23450068212556502,1.0985918181818182,0.0017011750921686237,0.20618881818181822,0.001549926732472552
3,2544,2638,90.29141515151515,0.2881960918301795,1.091499393939394,0.0028012896806854253,0.2095148787878788,0.0024047674083657058
3,2639,2710,92.17963333333333,0.31603065603760216,1.0739377777777779,0.0019354688078531963,0.2136942222222222,0.0023753477302294462
3,2711,2870,90.3219606060606,0.31376705597913657,1.0752169696969696,0.007801516357986448,0.2128091212121212,0.0031755570044226787
3,2871,3500,83.85621176470588,0.23151178189394445,1.0831182352941173,0.008568968456892864,0.3395876470588236,0.014085750780554905
3,3501,4127,86.32273333333332,0.14811776470843152,1.0745699999999998,0.003652090725415574,0.37035650000000003,0.01011069158119264
3,4128,4132,88.012,0.2109094876955499,1.09269,0.0021767811098041216,0.350098,0.04078836853123695
3,4133,4327,84.56699473684212,0.12973001441056783,1.1568314035087723,0.0021038006030827984,0.3809686842105263,0.011900682672675359
3,4328,4507,82.545625,0.14114539893211467,1.1272366176470587,0.002272444013607979,0.2772711176470588,0.0054761746350183195
3,4508,4661,82.30760483870968,0.13886772242470827,1.1281735483870967,0.0016206570718177422,0.2842521129032259,0.0046630519083703205
4,2077,2272,117.32869565217389,0.3736933682303691,1.0291791304347826,0.003740268431477692,0.13944539130434783,0.005967561957487004
4,2273,2280,118.85225,0.20113723548860937,1.031325,0.0017009776600531903,0.17662499999999998,0.003155639950944972
4,2281,2357,117.168,0.25759885949629613,0.9991015862068965,0.0019912003400694004,0.1624056896551724,0.002391346959978086
4,2358,2565,116.72324390243904,0.2805086651839964,1.0629273170731706,0.002397837465138261,0.16045060975609757,0.0027032776390987215
4,2566,2633,117.68320689655171,0.2085558519934485,1.0889037931034484,0.0019556856347637823,0.17473510344827584,0.0028657169451968053
4,2634,2656,118.94200000000001,0.2199409011530143,1.0514290909090909,0.002593742310553174,0.19484899999999997,0.0031243372242619827
4,2657,2870,118.11035294117647,0.30030532329153153,1.0690526470588235,0.0044542671601797935,0.1735829705882353,0.003472416580841022
4,2871,3500,112.99,0.2800779303315846,0.9846793939393939,0.002896060531547552,0.24258076470588238,0.0137665870072066
4,3501,4132,113.56200000000001,1.8716335874615764,0.9973601428571427,0.010697618258666866,0.22317957142857142,0.030064526652124866
4,4133,4327,112.82370175438597,0.2324774250434161,0.9848989298245615,0.0020527241622545,0.2708278421052632,0.005857920593250103
4,4328,4661,110.67056589147288,0.2308437790140264,0.9724349615384617,0.001958316150337985,0.18369947692307692,0.0031684981038471293
5,2077,2280,127.89192592592592,0.621032290323252,0.966286925925926,0.004744498646002591,0.13153077777777777,0.0058041275628152875
5,2281,2565,125.28537499999999,0.290840565215721,0.9628626805555555,0.0016923091048294265,0.1525791111111111,0.0017952223597615029
5,2566,2870,127.57621052631578,0.37959421948726396,0.9734997763157895,0.0033940552502972955,0.16457502631578946,0.003565283010740649
5,2871,3500,121.5849090909091,0.22610715663373343,0.9705361818181818,0.0009931737757111457,0.2558040909090909,0.004629960071584073
5,3501,4127,122.8532962962963,0.2594505326168578,0.9567311481481482,0.0020741414056531272,0.2773330740740741,0.0073131499618757576
5,4128,4196,120.278,2.392932702076399,0.9493645,0.012920895111106756,0.218823,0.007603023185257007
5,4197,4327,121.6275344827586,0.33627186330753095,0.9944579310344829,0.0015143764036049546,0.26525106896551726,0.00558170807148168
5,4328,4539,119.36534939759036,0.228389934670233,0.9707493012048193,0.0016152073143444424,0.20302904819277107,0.005124944649489209
5,4540,4661,119.7623260869565,0.1992704142995712,0.9737718510638297,0.0013431386864391495,0.20604421276595744,0.004910245961409587
6,2077,2279,109.05607142857141,0.3910116849342265,0.9605480357142858,0.0017262476540201822,0.12815492857142857,0.005941513364987621
6,2280,2502,108.50355357142858,0.1873544120151174,0.9534428750000001,0.0017146740846347075,0.15355442857142856,0.001709867944536978
6,2503,2568,107.83064705882353,0.22947457661989143,0.9496367647058823,0.0016799941711877848,0.1532936470588235,0.0014651381360764174
6,2569,2632,109.02617857142856,0.22824611615713644,0.9609740357142857,0.001842009315978904,0.15430675,0.003079266130393038
