# measurement unit: cm
  nwa-bar    dir_x    dir_y    dir_z         x          y         z
       15       -1       -1       -1  407.3789    19.0319  344.0421
       15       -1       -1        1  402.9486    18.9731  338.6422
       15       -1        1       -1  407.2967    27.2864  344.0196
       15       -1        1        1  402.8665    27.2276  338.6197
       15        1       -1       -1  257.6566    17.8774  466.8913
       15        1       -1        1  253.2264    17.8186  461.4914
       15        1        1       -1  257.5745    26.1319  466.8688
       15        1        1        1  253.1442    26.0731  461.4689
       16       -1       -1       -1  407.2936    27.6039  344.0188
       16       -1       -1        1  402.8633    27.5451  338.6188
       16       -1        1       -1  407.2115    35.8585  343.9962
       16       -1        1        1  402.7812    35.7997  338.5963
       16        1       -1       -1  257.5714    26.4494  466.8680
       16        1       -1        1  253.1411    26.3906  461.4680
       16        1        1       -1  257.4892    34.7040  466.8455
       16        1        1        1  253.0590    34.6452  461.4455
       17       -1       -1       -1  407.2083    36.1760  343.9954
       17       -1       -1        1  402.7780    36.1172  338.5954
       17       -1        1       -1  407.1262    44.4305  343.9729
       17       -1        1        1  402.6959    44.3717  338.5729
       17        1       -1       -1  257.4861    35.0214  466.8446
       17        1       -1        1  253.0558    34.9626  461.4447
       17        1        1       -1  257.4040    43.2760  466.8221
       17        1        1        1  252.9737    43.2172  461.4221
       18       -1       -1       -1  407.1230    44.7480  343.9720
       18       -1       -1        1  402.6927    44.6892  338.5721
       18       -1        1       -1  407.0409    53.0026  343.9495
       18       -1        1        1  402.6106    52.9438  338.5495
       18        1       -1       -1  257.4008    43.5935  466.8212
       18        1       -1        1  252.9705    43.5347  461.4213
       18        1        1       -1  257.3187    51.8480  466.7987
       18        1        1        1  252.8884    51.7892  461.3988
       19       -1       -1       -1  407.0377    53.3200  343.9486
       19       -1       -1        1  402.6075    53.2612  338.5487
       19       -1        1       -1  406.9556    61.5746  343.9261
       19       -1        1        1  402.5253    61.5158  338.5262
       19        1       -1       -1  257.3155    52.1655  466.7978
       19        1       -1        1  252.8852    52.1067  461.3979
       19        1        1       -1  257.2334    60.4201  466.7753
       19        1        1        1  252.8031    60.3613  461.3754
       20       -1       -1       -1  406.9525    61.8921  343.9253
       20       -1       -1        1  402.5222    61.8333  338.5253
       20       -1        1       -1  406.8703    70.1467  343.9027
       20       -1        1        1  402.4401    70.0878  338.5028
       20        1       -1       -1  257.2302    60.7376  466.7745
       20        1       -1        1  252.8000    60.6788  461.3745
       20        1        1       -1  257.1481    68.9921  466.7519
       20        1        1        1  252.7178    68.9333  461.3520
       21       -1       -1       -1  406.8672    70.4641  343.9019
       21       -1       -1        1  402.4369    70.4053  338.5019
       21       -1        1       -1  406.7851    78.7187  343.8794
       21       -1        1        1  402.3548    78.6599  338.4794
       21        1       -1       -1  257.1450    69.3096  466.7511
       21        1       -1        1  252.7147    69.2508  461.3511
       21        1        1       -1  257.0628    77.5642  466.7286
       21        1        1        1  252.6326    77.5054  461.3286
       22       -1       -1       -1  406.7819    79.0362  343.8785
       22       -1       -1        1  402.3516    78.9774  338.4785
       22       -1        1       -1  406.6998    87.2907  343.8560
       22       -1        1        1  402.2695    87.2319  338.4560
       22        1       -1       -1  257.0597    77.8817  466.7277
       22        1       -1        1  252.6294    77.8229  461.3278
       22        1        1       -1  256.9776    86.1362  466.7052
       22        1        1        1  252.5473    86.0774  461.3053
       23       -1       -1       -1  406.6966    87.6082  343.8551
       23       -1       -1        1  402.2663    87.5494  338.4552
       23       -1        1       -1  406.6145    95.8628  343.8326
       23       -1        1        1  402.1842    95.8040  338.4327
       23        1       -1       -1  256.9744    86.4537  466.7043
       23        1       -1        1  252.5441    86.3949  461.3044
       23        1        1       -1  256.8923    94.7083  466.6818
       23        1        1        1  252.4620    94.6495  461.2819
       24       -1       -1       -1  406.6113    96.1803  343.8317
       24       -1       -1        1  402.1811    96.1215  338.4318
       24       -1        1       -1  406.5292   104.4348  343.8092
       24       -1        1        1  402.0989   104.3760  338.4093
       24        1       -1       -1  256.8891    95.0257  466.6810
       24        1       -1        1  252.4588    94.9669  461.2810
       24        1        1       -1  256.8070   103.2803  466.6584
       24        1        1        1  252.3767   103.2215  461.2585
