# measurement unit: cm
  nwb-bar    dir_x    dir_y    dir_z         x          y         z
       15       -1       -1       -1  358.9483    17.9803  285.2688
       15       -1       -1        1  354.5004    17.9588  279.8831
       15       -1        1       -1  358.9198    26.2353  285.2594
       15       -1        1        1  354.4719    26.2138  279.8736
       15        1       -1       -1  209.6169    17.6053  408.5976
       15        1       -1        1  205.1690    17.5838  403.2119
       15        1        1       -1  209.5884    25.8602  408.5882
       15        1        1        1  205.1405    25.8387  403.2025
       16       -1       -1       -1  358.9187    26.5528  285.2590
       16       -1       -1        1  354.4708    26.5313  279.8733
       16       -1        1       -1  358.8902    34.8077  285.2496
       16       -1        1        1  354.4423    34.7862  279.8639
       16        1       -1       -1  209.5873    26.1777  408.5879
       16        1       -1        1  205.1394    26.1562  403.2021
       16        1        1       -1  209.5588    34.4326  408.5784
       16        1        1        1  205.1109    34.4111  403.1927
       17       -1       -1       -1  358.8891    35.1252  285.2493
       17       -1       -1        1  354.4412    35.1037  279.8635
       17       -1        1       -1  358.8606    43.3802  285.2398
       17       -1        1        1  354.4127    43.3587  279.8541
       17        1       -1       -1  209.5577    34.7501  408.5781
       17        1       -1        1  205.1098    34.7286  403.1923
       17        1        1       -1  209.5292    43.0051  408.5687
       17        1        1        1  205.0813    42.9836  403.1829
       18       -1       -1       -1  358.8595    43.6977  285.2395
       18       -1       -1        1  354.4116    43.6762  279.8537
       18       -1        1       -1  358.8310    51.9526  285.2301
       18       -1        1        1  354.3831    51.9311  279.8443
       18        1       -1       -1  209.5281    43.3226  408.5683
       18        1       -1        1  205.0802    43.3011  403.1826
       18        1        1       -1  209.4996    51.5775  408.5589
       18        1        1        1  205.0517    51.5560  403.1732
       19       -1       -1       -1  358.8299    52.2701  285.2297
       19       -1       -1        1  354.3820    52.2486  279.8440
       19       -1        1       -1  358.8014    60.5250  285.2203
       19       -1        1        1  354.3535    60.5035  279.8346
       19        1       -1       -1  209.4985    51.8950  408.5585
       19        1       -1        1  205.0506    51.8735  403.1728
       19        1        1       -1  209.4700    60.1500  408.5491
       19        1        1        1  205.0221    60.1285  403.1634
       20       -1       -1       -1  358.8003    60.8425  285.2199
       20       -1       -1        1  354.3524    60.8210  279.8342
       20       -1        1       -1  358.7718    69.0975  285.2105
       20       -1        1        1  354.3239    69.0760  279.8248
       20        1       -1       -1  209.4689    60.4675  408.5488
       20        1       -1        1  205.0210    60.4460  403.1630
       20        1        1       -1  209.4404    68.7224  408.5394
       20        1        1        1  204.9925    68.7009  403.1536
       21       -1       -1       -1  358.7707    69.4150  285.2102
       21       -1       -1        1  354.3228    69.3935  279.8244
       21       -1        1       -1  358.7422    77.6699  285.2008
       21       -1        1        1  354.2943    77.6484  279.8150
       21        1       -1       -1  209.4393    69.0399  408.5390
       21        1       -1        1  204.9914    69.0184  403.1533
       21        1        1       -1  209.4108    77.2949  408.5296
       21        1        1        1  204.9629    77.2734  403.1439
       22       -1       -1       -1  358.7411    77.9874  285.2004
       22       -1       -1        1  354.2932    77.9659  279.8147
       22       -1        1       -1  358.7126    86.2424  285.1910
       22       -1        1        1  354.2647    86.2209  279.8053
       22        1       -1       -1  209.4097    77.6124  408.5292
       22        1       -1        1  204.9618    77.5909  403.1435
       22        1        1       -1  209.3812    85.8673  408.5198
       22        1        1        1  204.9333    85.8458  403.1341
       23       -1       -1       -1  358.7115    86.5599  285.1906
       23       -1       -1        1  354.2636    86.5384  279.8049
       23       -1        1       -1  358.6830    94.8148  285.1812
       23       -1        1        1  354.2351    94.7933  279.7955
       23        1       -1       -1  209.3801    86.1848  408.5195
       23        1       -1        1  204.9322    86.1633  403.1337
       23        1        1       -1  209.3516    94.4397  408.5101
       23        1        1        1  204.9037    94.4182  403.1243
       24       -1       -1       -1  358.6819    95.1323  285.1809
       24       -1       -1        1  354.2340    95.1108  279.7951
       24       -1        1       -1  358.6534   103.3873  285.1715
       24       -1        1        1  354.2055   103.3658  279.7857
       24        1       -1       -1  209.3505    94.7572  408.5097
       24        1       -1        1  204.9026    94.7357  403.1240
       24        1        1       -1  209.3220   103.0122  408.5003
       24        1        1        1  204.8741   102.9907  403.1146
