# measurement unit: cm
  nwa-bar    dir_x    dir_y    dir_z         x          y         z
       16       -1       -1       -1  407.3408    18.4250  344.0317
       16       -1       -1        1  402.9103    18.4250  338.6317
       16       -1        1       -1  407.3408    26.6800  344.0317
       16       -1        1        1  402.9103    26.6800  338.6317
       16        1       -1       -1  257.6128    18.4250  466.8793
       16        1       -1        1  253.1823    18.4250  461.4793
       16        1        1       -1  257.6128    26.6800  466.8793
       16        1        1        1  253.1823    26.6800  461.4793
       17       -1       -1       -1  407.2556    26.9970  344.0083
       17       -1       -1        1  402.8249    26.9970  338.6083
       17       -1        1       -1  407.2556    35.2521  344.0083
       17       -1        1        1  402.8250    35.2521  338.6083
       17        1       -1       -1  257.5276    26.9970  466.8560
       17        1       -1        1  253.0971    26.9970  461.4559
       17        1        1       -1  257.5276    35.2521  466.8560
       17        1        1        1  253.0971    35.2521  461.4559
       18       -1       -1       -1  407.1703    35.5691  343.9850
       18       -1       -1        1  402.7397    35.5691  338.5849
       18       -1        1       -1  407.1703    43.8241  343.9850
       18       -1        1        1  402.7397    43.8241  338.5849
       18        1       -1       -1  257.4423    35.5691  466.8326
       18        1       -1        1  253.0117    35.5691  461.4325
       18        1        1       -1  257.4423    43.8241  466.8326
       18        1        1        1  253.0117    43.8241  461.4325
       19       -1       -1       -1  407.0850    44.1412  343.9616
       19       -1       -1        1  402.6544    44.1412  338.5615
       19       -1        1       -1  407.0850    52.3961  343.9616
       19       -1        1        1  402.6544    52.3961  338.5615
       19        1       -1       -1  257.3570    44.1412  466.8092
       19        1       -1        1  252.9264    44.1412  461.4092
       19        1        1       -1  257.3570    52.3961  466.8092
       19        1        1        1  252.9264    52.3961  461.4092
       20       -1       -1       -1  406.9997    52.7131  343.9382
       20       -1       -1        1  402.5691    52.7131  338.5382
       20       -1        1       -1  406.9997    60.9682  343.9382
       20       -1        1        1  402.5691    60.9682  338.5382
       20        1       -1       -1  257.2717    52.7131  466.7858
       20        1       -1        1  252.8411    52.7131  461.3858
       20        1        1       -1  257.2717    60.9682  466.7858
       20        1        1        1  252.8411    60.9682  461.3858
       21       -1       -1       -1  406.9144    61.2852  343.9148
       21       -1       -1        1  402.4839    61.2852  338.5148
       21       -1        1       -1  406.9144    69.5402  343.9148
       21       -1        1        1  402.4839    69.5402  338.5148
       21        1       -1       -1  257.1865    61.2852  466.7624
       21        1       -1        1  252.7559    61.2852  461.3625
       21        1        1       -1  257.1865    69.5402  466.7624
       21        1        1        1  252.7559    69.5402  461.3625
       22       -1       -1       -1  406.8292    69.8572  343.8915
       22       -1       -1        1  402.3986    69.8572  338.4914
       22       -1        1       -1  406.8292    78.1123  343.8915
       22       -1        1        1  402.3986    78.1123  338.4914
       22        1       -1       -1  257.1011    69.8572  466.7391
       22        1       -1        1  252.6706    69.8572  461.3390
       22        1        1       -1  257.1011    78.1123  466.7391
       22        1        1        1  252.6706    78.1123  461.3390
       23       -1       -1       -1  406.7439    78.4293  343.8681
       23       -1       -1        1  402.3133    78.4293  338.4680
       23       -1        1       -1  406.7439    86.6843  343.8681
       23       -1        1        1  402.3133    86.6843  338.4680
       23        1       -1       -1  257.0159    78.4293  466.7157
       23        1       -1        1  252.5853    78.4293  461.3157
       23        1        1       -1  257.0159    86.6843  466.7157
       23        1        1        1  252.5853    86.6843  461.3157
       24       -1       -1       -1  406.6586    87.0013  343.8447
       24       -1       -1        1  402.2280    87.0013  338.4447
       24       -1        1       -1  406.6586    95.2564  343.8447
       24       -1        1        1  402.2280    95.2564  338.4447
       24        1       -1       -1  256.9306    87.0013  466.6923
       24        1       -1        1  252.5000    87.0013  461.2923
       24        1        1       -1  256.9306    95.2564  466.6923
       24        1        1        1  252.5000    95.2564  461.2923
       25       -1       -1       -1  406.5733    95.5734  343.8213
       25       -1       -1        1  402.1427    95.5734  338.4213
       25       -1        1       -1  406.5733   103.8284  343.8213
       25       -1        1        1  402.1427   103.8284  338.4213
       25        1       -1       -1  256.8454    95.5734  466.6689
       25        1       -1        1  252.4148    95.5734  461.2689
       25        1        1       -1  256.8454   103.8284  466.6689
       25        1        1        1  252.4148   103.8284  461.2689
