# measurement unit: cm
  nwb-bar    dir_x    dir_y    dir_z         x          y         z
       16       -1       -1       -1  358.9344    17.7820  285.2642
       16       -1       -1        1  354.4865    17.7820  279.8784
       16       -1        1       -1  358.9344    26.0370  285.2642
       16       -1        1        1  354.4865    26.0370  279.8784
       16        1       -1       -1  209.6024    17.7820  408.5928
       16        1       -1        1  205.1544    17.7820  403.2071
       16        1        1       -1  209.6024    26.0370  408.5928
       16        1        1        1  205.1544    26.0370  403.2071
       17       -1       -1       -1  358.9048    26.3545  285.2544
       17       -1       -1        1  354.4569    26.3545  279.8687
       17       -1        1       -1  358.9048    34.6094  285.2544
       17       -1        1        1  354.4569    34.6094  279.8687
       17        1       -1       -1  209.5728    26.3545  408.5830
       17        1       -1        1  205.1248    26.3545  403.1973
       17        1        1       -1  209.5728    34.6094  408.5830
       17        1        1        1  205.1248    34.6094  403.1973
       18       -1       -1       -1  358.8752    34.9269  285.2446
       18       -1       -1        1  354.4273    34.9269  279.8589
       18       -1        1       -1  358.8752    43.1819  285.2446
       18       -1        1        1  354.4273    43.1819  279.8589
       18        1       -1       -1  209.5432    34.9269  408.5733
       18        1       -1        1  205.0952    34.9269  403.1875
       18        1        1       -1  209.5432    43.1819  408.5733
       18        1        1        1  205.0952    43.1819  403.1875
       19       -1       -1       -1  358.8456    43.4994  285.2349
       19       -1       -1        1  354.3976    43.4994  279.8491
       19       -1        1       -1  358.8456    51.7543  285.2349
       19       -1        1        1  354.3976    51.7543  279.8491
       19        1       -1       -1  209.5135    43.4994  408.5635
       19        1       -1        1  205.0656    43.4994  403.1778
       19        1        1       -1  209.5135    51.7543  408.5635
       19        1        1        1  205.0656    51.7543  403.1778
       20       -1       -1       -1  358.8160    52.0717  285.2251
       20       -1       -1        1  354.3680    52.0717  279.8394
       20       -1        1       -1  358.8160    60.3268  285.2251
       20       -1        1        1  354.3680    60.3268  279.8394
       20        1       -1       -1  209.4839    52.0717  408.5537
       20        1       -1        1  205.0360    52.0717  403.1680
       20        1        1       -1  209.4839    60.3268  408.5537
       20        1        1        1  205.0360    60.3268  403.1680
       21       -1       -1       -1  358.7864    60.6442  285.2153
       21       -1       -1        1  354.3384    60.6442  279.8296
       21       -1        1       -1  358.7864    68.8992  285.2153
       21       -1        1        1  354.3384    68.8992  279.8296
       21        1       -1       -1  209.4543    60.6442  408.5440
       21        1       -1        1  205.0064    60.6442  403.1582
       21        1        1       -1  209.4543    68.8992  408.5440
       21        1        1        1  205.0064    68.8992  403.1582
       22       -1       -1       -1  358.7568    69.2166  285.2056
       22       -1       -1        1  354.3088    69.2166  279.8198
       22       -1        1       -1  358.7568    77.4717  285.2056
       22       -1        1        1  354.3088    77.4717  279.8198
       22        1       -1       -1  209.4247    69.2166  408.5342
       22        1       -1        1  204.9768    69.2166  403.1485
       22        1        1       -1  209.4247    77.4717  408.5342
       22        1        1        1  204.9768    77.4717  403.1485
       23       -1       -1       -1  358.7272    77.7891  285.1958
       23       -1       -1        1  354.2792    77.7891  279.8101
       23       -1        1       -1  358.7272    86.0441  285.1958
       23       -1        1        1  354.2792    86.0441  279.8101
       23        1       -1       -1  209.3951    77.7891  408.5244
       23        1       -1        1  204.9472    77.7891  403.1387
       23        1        1       -1  209.3951    86.0441  408.5244
       23        1        1        1  204.9472    86.0441  403.1387
       24       -1       -1       -1  358.6976    86.3616  285.1860
       24       -1       -1        1  354.2496    86.3616  279.8003
       24       -1        1       -1  358.6976    94.6165  285.1860
       24       -1        1        1  354.2496    94.6165  279.8003
       24        1       -1       -1  209.3655    86.3616  408.5147
       24        1       -1        1  204.9176    86.3616  403.1289
       24        1        1       -1  209.3655    94.6165  408.5147
       24        1        1        1  204.9176    94.6165  403.1289
       25       -1       -1       -1  358.6680    94.9340  285.1763
       25       -1       -1        1  354.2200    94.9340  279.7905
       25       -1        1       -1  358.6680   103.1890  285.1763
       25       -1        1        1  354.2200   103.1890  279.7905
       25        1       -1       -1  209.3359    94.9340  408.5049
       25        1       -1        1  204.8880    94.9340  403.1192
       25        1        1       -1  209.3359   103.1890  408.5049
       25        1        1        1  204.8880   103.1890  403.1192
