# Input.data:
#       None
#    1000000, -213.0000,    0.0400
#       None,    0.0000,    0.0000,    0.0010,       300
#       None
#    0.0000,    0.0000, -450.0000
#    4.3000,    6.3500,    4.3000
#         2,         1,         2,         3
  energy    efficiency  mode
     237     0.0316721  qmd
     238     0.0315586  qmd
     239     0.0315381  qmd
     240     0.0314895  qmd
     241     0.0315601  qmd
     242     0.0315215  qmd
     243     0.0315516  qmd
     244     0.0315227  qmd
     245     0.0315071  qmd
     246     0.0315089  qmd
     247     0.031429   qmd
     248     0.0314327  qmd
     249     0.0314147  qmd
     250     0.031418   qmd
     251     0.0314066  qmd
     252     0.0313417  qmd
     253     0.0313141  qmd
     254     0.0312593  qmd
     255     0.0312775  qmd
     256     0.0312429  qmd
     257     0.0312925  qmd
     258     0.0312516  qmd
     259     0.0312173  qmd
     260     0.0312888  qmd
     261     0.0311968  qmd
     262     0.0311583  qmd
     263     0.0311759  qmd
     264     0.0311879  qmd
     265     0.0310684  qmd
     266     0.0310672  qmd
     267     0.0311122  qmd
     268     0.0311088  qmd
     269     0.0310398  qmd
     270     0.0310348  qmd
     271     0.0309769  qmd
     272     0.0308436  qmd
     273     0.0307268  qmd
     274     0.0306447  qmd
     275     0.0305277  qmd
     276     0.0304229  qmd
     277     0.0302703  qmd
     278     0.0302696  qmd
     279     0.0301433  qmd
     280     0.0300373  qmd
     281     0.0301072  qmd
     282     0.0301263  qmd
     283     0.0300539  qmd
     284     0.0300591  qmd
     285     0.0301308  qmd
     286     0.0301259  qmd
     287     0.0301799  qmd
     288     0.0301319  qmd
     289     0.030138   qmd
     290     0.0301562  qmd
     291     0.0301871  qmd
     292     0.0302021  qmd
     293     0.0301781  qmd
     294     0.0302507  qmd
     295     0.0301554  qmd
     296     0.0302254  qmd
     297     0.0302409  qmd
     298     0.0302174  qmd
     299     0.0302798  qmd
     300     0.0301306  qmd
