bar,p0,p1,p2
1,264.6508593508344,-0.018991589731382374,0.009540769214650968
2,269.5000503298705,-0.005007644309824588,0.008110689109335989
3,207.38015965894212,0.027848919353640533,0.009795358090558315
4,290.46761597502814,-0.0030597251463149178,0.007241143579903575
5,338.833213074332,0.09750868031019988,0.008852727641012748
6,278.2670118977511,0.03906227488346525,0.008645978905121976
7,267.95480743690655,0.03592126681721475,0.009253240671874163
8,246.66415858959917,0.08441637878411437,0.009223099686298418
9,234.9405062900476,0.061019763492918266,0.008959540171671443
10,295.42795910242927,0.05427474465219995,0.007308568974316643
11,248.99051935317067,0.04410472889470529,0.009344562168791759
12,281.24513302458786,0.07568716584202273,0.00727814397819293
13,315.87501225787275,0.1803645557646807,0.008131014392285807
14,224.90282842572543,0.0028598458563856566,0.00804221654072279
15,253.27341976207416,0.052680241244570825,0.008075329614650184
16,273.62771071459315,-0.03513475950704548,0.007787581828234025
17,237.25845825527685,-0.16470961061909148,0.0073532850377221425
18,245.09881131447628,-0.017386272926018576,0.008504004919274055
19,245.320075611866,-0.09564338289334293,0.0075505946457226645
20,272.20662263784885,-0.07740004810024681,0.010283281796843124
21,280.1695131295008,-0.03712166204009448,0.009352072441950354
22,285.0500456237867,-0.054443794651621635,0.005001060413669878
23,266.38708073414597,-0.030029587837261396,0.007327103272312674
24,342.93981034907154,0.10215875212174497,0.01168924593514964
